candidate_id	similarity	score
5978	0.013423096030960452	1
5979	0.1542208195718979	2
5980	0.04697065984832986	1
5981	0.05322610239310427	1
5982	0.11717325658621688	2
5983	0.030186703650326416	1
5984	0.005851046925006132	1
5985	0.05939592797133156	0
5986	0.059714162369877186	2
5987	0.12842109380054328	3
5988	0.1241813929374621	3
5989	0.07901154356883264	1
5990	0.0965459387543405	3
5991	0.060879471599464725	2
5992	0.027625003033037658	1
5993	0.11189055524336466	2
5994	0.07451131247980784	2
5995	0.08034461624362949	2
5996	0.05642248747334782	1
5997	0.06722414934235717	2
5998	0.014546947383538492	2
5999	0.001612296671127905	1
6000	0.09229651139090417	2
6001	0.024469081178133813	1
6002	0.10566835697794127	2
6003	0.1842815242528705	3
6004	0.0024023370133794573	1
6005	0.14146572388422987	3
6006	0.08146182952473485	2
6007	0.11321566400028969	3
6008	0.12674815168374665	1
6010	0.07363299294919512	1
6011	9.571955873974552e-06	1
6012	0.03377955894377956	0
6013	0.005684772262436212	1
6014	0.1360956853922469	3
6015	0.09348823149054183	2
6016	0.17761326937211103	3
6017	0.04459591031062968	1
6018	0.05079856451716448	2
6019	0.03664820945226811	1
6020	0.1171006073968558	2
6021	0.017371829387330655	2
6022	0.10040657894288331	2
6023	0.14048558672884326	2
6024	0.03416695220171996	1
6025	0.009729810070222878	1
6026	0.16638981024647947	3
6027	0.17582846014064507	3
6028	0.031194379596573035	2
6029	0.07015858682599527	1
6030	0.16159913829203768	3
6031	0.16294271555688436	3
6032	0.03194464625064884	2
6033	0.18123929299553249	3
6034	0.10176758618913154	2
6035	0.045854656358030994	1
6036	0.1368840511857121	2
6037	0.04871434514362983	2
6038	0.1011959387956025	2
6039	0.09070373721031935	1
6040	0.055218898089601336	1
6041	0.006969928084153972	2
6042	0.0995836976634844	2
6043	0.024937231557765414	1
6044	1.731375989100614e-06	2
6045	0.08952234970686147	2
6046	0.07374707368781037	1
6047	0.023969337998469786	1
6048	0.10664816397613909	1
6049	0.015830526621405716	1
6050	0.13818323749094547	3
6051	0.13766255096048724	1
6052	0.09352997302093244	2
6053	0.0170554935083223	1
6054	0.042088194596776	1
6055	0.137592810233422	2
6056	0.06891923820843551	1
6057	0.13762208337947873	3
6058	0.09815624304806811	2
6059	0.004040862672738438	1
6060	0.010777526156770497	1
6061	0.17291700990503336	3
6062	0.04246757363938168	1
6063	0.0801516563251523	2
6064	0.06316878249480597	2
6065	0.08371380933870806	2
6066	0.032755023978097327	1
6067	0.024797994831897804	1
6068	0.03951789664860518	2
6069	0.11298546713318214	2
6070	0.07281904183696572	2
6071	0.08640995919872455	2
6072	0.060824934235705834	2
6073	0.11937212966549376	2
6074	0.029319796127528275	2
6075	0.18440566710347392	3
6076	0.160107954709989	2
6077	0.0624038774801138	1
6078	0.057738155923659204	2
6079	0.12475074663492565	3
6080	0.10249560424830106	2
6081	0.004503681057685649	2
6082	0.03365448410431803	1
6083	0.0007938351085867563	1
6084	0.07101347848292365	3
6085	0.1547879182516081	3
6086	0.04662098686833549	1
6087	0.050322509337740066	2
6088	0.1039781875723068	2
6089	0.11339160809240023	3
6090	0.0575557198657512	1
6091	0.11901093876104435	3
6092	0.007598702972260278	1
6093	0.0026551991273071184	1
6094	0.10207553286321056	1
6095	0.17596493674463795	3
6096	0.08689508428708378	2
6097	0.004478699767214848	1
6098	0.11057196491509062	3
6099	0.008662783086587104	1
6100	0.12489121044412492	2
6101	0.0801516563251523	2
6102	0.1054429013747959	2
6103	0.1318339945115948	2
6104	0.002070407124435593	1
6105	0.1481941778099156	3
6106	0.029652933910730234	1
6107	0.09023554441415911	2
6108	0.027242221080991915	1
6109	0.12678790307375262	2
6110	0.07164766774022807	2
6111	0.08339393021468483	2
6112	0.05070141512988413	1
6113	0.13868847690828803	3
6114	0.00037227977699246515	1
6115	0.009555039207813852	2
6116	0.17437062485965674	2
6117	0.10396619193929929	1
6118	0.1429771007113896	3
6119	0.04955872580261671	1
6120	0.08822489894179214	2
6121	0.15134862550375938	3
6122	0.06291802463590286	2
6123	0.12357223671187767	3
6124	0.10884616162871501	3
6125	0.03326847284703493	2
6126	0.054852339754992714	1
6127	0.17996327258114736	3
6128	0.1576568500198091	3
6129	0.0869840791365497	2
6130	0.05248241075411033	1
6131	0.017536509686415968	1
6132	0.106193364003816	3
6133	0.011380237484421546	1
6134	0.11094640118314267	2
6135	0.06845820418701061	2
6136	0.03288607091485875	1
6137	0.11066554088662638	2
6138	0.08944598254357225	2
6139	0.07905029017060372	2
6140	0.1003260689243548	1
6141	0.07081231164388822	2
6142	0.14490500161081762	2
6143	0.11083979130256516	3
6144	0.12478850478195469	3
6145	0.15387761587832172	3
6146	0.12990326858813286	2
6147	0.02700133028374609	2
6148	0.021312599982060317	2
6149	0.07493610583240803	2
6150	0.09479997263336842	2
6151	0.10040657894288331	2
6152	0.11067619019376632	2
6153	0.06253315378198596	2
6154	1.9167847163414253e-05	1
6155	0.05305519837474608	1
6156	0.10924181225432127	2
6157	0.1740830692921563	3
6158	0.15523579875291238	3
6159	0.09904486592333187	2
6160	0.09354116148665946	2
6161	0.06874196738237513	2
6162	0.172281045388938	2
6163	0.007140544423756561	1
6164	0.0735177110432775	2
6165	0.14239081067327183	3
6166	0.0005778648192357092	1
6167	0.005214417135931483	3
6168	0.09471781646182813	2
6169	0.16074212492756912	2
6170	0.14296640722331053	1
6171	0.12394595544791907	3
6172	0.1125654629775834	2
