cand id	BLEU	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_P	BERTScore_R	BERTScore_F1	bert_s+wms	bert_sms	bert_wms	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	score
6561	0.150820003	0.291457281	0.030303025	0.177121766	0.82048315	0.82347685	0.82197726	0.00000548	0.000309669	1.07E-06	2.43E-06	0.000347659	2.72E-07	0.011575211	0.084767642	0.004806754	2
6562	0.04375814	0.237288132	0.02730375	0.16504854	0.824761	0.8160405	0.8203776	0.00000187	0.000108237	3.64E-07	1.43E-06	0.000153872	2.02E-07	0.009222347	0.059142724	0.004160407	1
6563	0.172075809	0.304999995	0.035175874	0.222222217	0.83852464	0.82529163	0.8318556	0.00000508	0.000180287	1.13E-06	1.95E-06	0.000228919	2.49E-07	0.009972048	0.067403445	0.004396585	3
6564	0.116805176	0.214111917	0.004889971	0.189830503	0.80249685	0.816214	0.8092973	0.00000251	0.0001213	5.49E-07	1.83E-06	0.000208124	2.48E-07	0.012356898	0.072665217	0.005814994	3
6565	0.144980414	0.303030298	0.033240992	0.215139437	0.8273085	0.8221422	0.8247172	0.00000382	0.000150484	7.86E-07	2.16E-06	0.00024452	2.49E-07	0.011048261	0.07569615	0.004561489	1
6566	0.124714084	0.307246372	0.017492707	0.244897954	0.84221387	0.83561796	0.8389029	0.00000582	0.000206292	1.21E-06	2.28E-06	0.000183551	3.30E-07	0.012849796	0.064617394	0.00631023	3
6567	0.089362718	0.25377643	0.024316105	0.186440673	0.8125291	0.81420314	0.8133653	0.00000312	0.000132778	6.48E-07	1.87E-06	0.000233978	2.26E-07	0.00894564	0.062828911	0.003757139	1
6568	0.008900508	0.143396223	0.00760456	0.14358974	0.84100366	0.8157958	0.82820797	0.00000386	0.000203397	6.54E-07	1.80E-06	0.00020915	2.01E-07	0.008599899	0.062424868	0.00343317	1
6569	0.035524084	0.200692038	0.020905919	0.19444444	0.8263205	0.8108681	0.8185214	0.00000262	0.000136389	5.22E-07	1.57E-06	0.000210218	1.61E-07	0.007411212	0.063278612	0.002706796	1
6570	0.092442726	0.278637766	0.012461055	0.21428571	0.84984535	0.8200719	0.8346932	0.00000333	0.000159167	6.76E-07	1.14E-06	0.000135869	1.52E-07	0.006292283	0.05296788	0.00256987	2
