cand id	bleu	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	glove_wms	glove_sms	glove_s+wms	elmo_wms	elmo_sms	elmo_s+wms	bert_wms	bert_sms	bert_s+wms	bertscore-p	bertscore-r	bertscore-f1	SentBERT	score
23	0.011850837	0.305555551	0.265060241	0.360655738	0.07042253	0.06097561	0.083333333	0.315789469	0.276923077	0.367346939	0.013662703	0.064734169	0.0297757	1.57E-07	0.000148765	4.86E-06	1.05E-06	0.000183536	1.39E-05	0.84917784	0.8638886	0.85647005	6.96E-10	0.2
24	0.006168111	0.368794321	0.320987654	0.433333333	0.172661866	0.15	0.203389831	0.39252336	0.368421053	0.42	0.024132732	0.127355681	0.055461577	1.20E-06	0.001218841	3.82E-05	8.26E-06	0.001411354	0.000108882	0.8608789	0.9040749	0.88194823	2.75E-08	0.2
25	0.036696862	0.259259254	0.274509804	0.245614035	0.037735844	0.04	0.035714286	0.255319144	0.3	0.222222222	0.007778569	0.059877071	0.021581426	3.41E-08	9.18E-05	1.80E-06	3.56E-07	0.000117665	6.59E-06	0.8472198	0.8546439	0.8509157	1.34E-10	0.2
26	0.023626105	0.320754712	0.404761905	0.265625	0.13461538	0.170731707	0.111111111	0.252873558	0.323529412	0.20754717	0.008632443	0.078619846	0.026052888	1.14E-07	0.000182104	4.56E-06	3.11E-06	0.000549513	4.14E-05	0.8781353	0.85480523	0.8663132	3.93E-09	0.2
27	0.010725482	0.321167879	0.255813953	0.431372549	0.103703699	0.082352941	0.14	0.324324319	0.276923077	0.391304348	0.016082839	0.076770098	0.035155932	1.50E-07	0.000153245	4.80E-06	2.25E-06	0.00023565	2.32E-05	0.8688193	0.89516795	0.8817968	1.00E-09	0.8
28	0.02367629	0.281481477	0.301587302	0.263888889	0.030075183	0.032258065	0.028169014	0.238532105	0.26	0.220338983	0.005355195	0.077839237	0.020693801	2.06E-08	0.000174821	1.91E-06	3.18E-07	0.00012778	6.43E-06	0.84669656	0.8547743	0.85071623	1.92E-10	0.8
29	0	0.305882348	0.342105263	0.276595745	0.144578308	0.162162162	0.130434783	0.289473679	0.314285714	0.268292683	0.00544262	0.047126819	0.016015654	6.39E-08	0.000110728	2.66E-06	1.76E-06	0.000308975	2.35E-05	0.87061197	0.86394125	0.86726373	8.27E-10	-0.4
30	0.008991621	0.324324319	0.352941176	0.3	0.110091738	0.12	0.101694915	0.329670325	0.357142857	0.306122449	0.005003816	0.072929118	0.019136141	4.52E-08	0.000237046	3.27E-06	9.28E-07	0.000506669	2.17E-05	0.85811883	0.8469422	0.8524939	1.33E-10	0.8
31	0.049066874	0.415999995	0.393939394	0.440677966	0.195121946	0.184615385	0.206896552	0.489361697	0.489361702	0.489361702	0.018447464	0.077755565	0.037897475	4.44E-07	0.000141693	7.95E-06	9.37E-06	0.000685834	8.03E-05	0.86572176	0.8814918	0.8735356	1.07E-08	0.6
32	0.008328571	0.224137926	0.236363636	0.213114754	0.017543855	0.018518519	0.016666667	0.21428571	0.290322581	0.169811321	0.010374938	0.159270534	0.040650002	6.96E-08	0.000566113	6.27E-06	7.63E-07	0.000712187	2.33E-05	0.83766204	0.8354927	0.836576	2.13E-09	0.4
33	0.013589921	0.196721307	0.176470588	0.222222222	0.0338983	0.03030303	0.038461538	0.199999995	0.2	0.2	0.003324712	0.03638364	0.010998416	1.32E-08	1.78E-05	4.85E-07	2.16E-07	2.95E-05	2.54E-06	0.8625971	0.87150466	0.867028	1.21E-10	0.4
34	0.008328571	0.38461538	0.350877193	0.425531915	0.176470583	0.160714286	0.195652174	0.337078647	0.306122449	0.375	0.010312141	0.077390533	0.028283784	3.27E-08	0.000149865	2.21E-06	1.01E-06	0.000287313	1.71E-05	0.8601764	0.879151	0.8695602	1.12E-09	0.6
35	0	0.211764701	0.28125	0.169811321	0.048192766	0.064516129	0.038461538	0.229508193	0.388888889	0.162790698	0.005035607	0.066817212	0.018578922	5.27E-08	0.000125002	2.57E-06	2.69E-07	7.74E-05	4.57E-06	0.8867869	0.83064187	0.85779667	5.22E-10	-0.2
36	0.017632308	0.227848097	0.173076923	0.333333333	0.025974022	0.019607843	0.038461538	0.208955219	0.170731707	0.269230769	0.004674226	0.106658292	0.022328118	2.06E-08	0.000472549	3.12E-06	3.75E-07	0.00029469	1.05E-05	0.8710853	0.90280306	0.8866606	3.04E-09	1
37	0.016657143	0.249999995	0.298245614	0.215189873	0.029850741	0.035714286	0.025641026	0.224299061	0.315789474	0.173913043	0.003047808	0.046228572	0.012037962	3.02E-08	3.88E-05	1.10E-06	2.28E-07	6.20E-05	3.81E-06	0.83361936	0.82532305	0.8294504	1.22E-10	-0.2
38	0.010211007	0.304347821	0.311111111	0.29787234	0.199999995	0.204545455	0.195652174	0.324999995	0.342105263	0.30952381	0.011584354	0.073342739	0.029366738	1.41E-07	0.000118707	4.10E-06	4.43E-06	0.000407795	4.27E-05	0.8751273	0.86869353	0.87189853	5.43E-10	0.6
39	0	0.202247186	0.214285714	0.191489362	0.045977007	0.048780488	0.043478261	0.235294113	0.307692308	0.19047619	0.002084401	0.046145806	0.009807466	2.33E-09	1.85E-05	2.08E-07	3.73E-07	0.000117833	6.64E-06	0.8342138	0.83736163	0.83578473	1.43E-10	0.4
40	0	0.195652169	0.1875	0.204545455	0.022222217	0.021276596	0.023255814	0.202898546	0.225806452	0.184210526	0.00297393	0.047848659	0.011928897	6.89E-09	2.96E-05	4.52E-07	3.00E-07	0.000176657	7.29E-06	0.86376816	0.8836168	0.8735797	2.46E-11	0
41	0.007143378	0.406249995	0.376811594	0.440677966	0.142857138	0.132352941	0.155172414	0.432989686	0.4375	0.428571429	0.019587396	0.086434671	0.041165479	2.45E-07	0.000309473	8.71E-06	3.44E-06	0.00055318	4.39E-05	0.8437558	0.8798507	0.86142534	1.75E-09	-0.2
42	0.021907515	0.534883716	0.522727273	0.547619048	0.309523805	0.302325581	0.317073171	0.540540536	0.526315789	0.555555556	0.094134747	0.115886947	0.104446115	1.61E-06	0.000314498	2.25E-05	6.07E-06	0.000510285	5.57E-05	0.9154147	0.9241607	0.9197669	2.87E-08	1
43	0.010211007	0.206185562	0.222222222	0.192307692	0.021052627	0.022727273	0.019607843	0.210526311	0.222222222	0.2	0.002204939	0.046291825	0.010137362	2.40E-08	0.000135276	1.80E-06	3.25E-07	0.000101045	5.74E-06	0.8592396	0.8680823	0.86363834	5.21E-11	1
44	0.0147533	0.456140346	0.419354839	0.5	0.249999995	0.229508197	0.274509804	0.46464646	0.442307692	0.489361702	0.020137181	0.062153113	0.035399805	7.26E-07	0.000256119	1.36E-05	1.62E-06	0.000173935	1.69E-05	0.88868064	0.9034297	0.8959945	7.77E-10	1
45	0.019125191	0.269662916	0.25	0.292682927	0.045977007	0.042553191	0.05	0.2368421	0.214285714	0.264705882	0.009585147	0.074925363	0.026858109	6.76E-08	0.000329832	4.72E-06	3.81E-06	0.000838963	5.66E-05	0.87019545	0.89087504	0.88041383	1.19E-09	0.8
46	0.007756598	0.460176986	0.412698413	0.52	0.198198193	0.177419355	0.224489796	0.458333328	0.407407407	0.523809524	0.018824161	0.083547448	0.039718259	2.62E-07	0.00024252	7.98E-06	1.81E-06	0.000507665	3.03E-05	0.8531751	0.8828507	0.8677592	4.48E-10	0.8
47	0	0.161616157	0.148148148	0.177777778	0	0	0	0.155844151	0.146341463	0.166666667	0.002978424	0.050227608	0.01268994	4.53E-09	1.81E-05	2.89E-07	3.50E-08	1.38E-05	7.04E-07	0.8077859	0.8186363	0.81317496	4.58E-10	-0.2
48	0.008647404	0.363636359	0.37037037	0.357142857	0.129629625	0.132075472	0.127272727	0.418604646	0.45	0.391304348	0.013990513	0.076932896	0.032807472	1.10E-07	0.000188589	4.54E-06	1.33E-06	0.000458431	2.47E-05	0.8877196	0.8691829	0.8783534	3.12E-09	0.6
49	0.025637324	0.333333328	0.315789474	0.352941176	0	0	0	0.343749995	0.34375	0.34375	0.004850827	0.078837639	0.019662456	7.56E-08	0.000216635	4.05E-06	4.95E-07	0.000298754	1.22E-05	0.86960727	0.88391626	0.8767034	2.41E-10	0.8
50	0.007756598	0.519999995	0.440677966	0.634146341	0.306122444	0.25862069	0.375	0.545454541	0.470588235	0.648648649	0.026316481	0.141889703	0.061106769	2.97E-06	0.001120666	5.77E-05	9.15E-06	0.001699541	0.000124736	0.87648845	0.9105712	0.89320487	1.05E-08	0
51	0.009291691	0.461538457	0.454545455	0.46875	0.15544041	0.153061224	0.157894737	0.34146341	0.355932203	0.328125	0.012175646	0.098455391	0.035220784	2.62E-07	0.00031708	9.33E-06	2.88E-06	0.000633197	4.28E-05	0.87755954	0.8789467	0.8782526	4.52E-09	0.6
52	0	0.258823524	0.261904762	0.255813953	0.024096381	0.024390244	0.023809524	0.225352108	0.235294118	0.216216216	0.014072354	0.053991695	0.027831021	5.04E-08	4.49E-05	1.53E-06	2.64E-06	0.000291674	2.79E-05	0.86674607	0.86074394	0.8637346	1.48E-09	0
53	0.019125191	0.370370366	0.520833333	0.287356322	0.165413529	0.234042553	0.127906977	0.339999995	0.414634146	0.288135593	0.022115549	0.150515508	0.057695175	4.04E-07	0.001274819	2.27E-05	4.06E-06	0.001221621	7.05E-05	0.89604574	0.8664279	0.880988	8.80E-10	1
54	0.010725482	0.399999996	0.290697674	0.641025641	0.162601622	0.117647059	0.263157895	0.372549015	0.28358209	0.542857143	0.010844038	0.112652856	0.035012169	1.39E-07	0.00037798	7.26E-06	2.05E-06	0.00043152	2.98E-05	0.8396844	0.89123905	0.864694	6.09E-10	0.6
55	0.015251346	0.254901956	0.213114754	0.317073171	0.099999995	0.083333333	0.125	0.274999995	0.239130435	0.323529412	0.009776411	0.036728901	0.018973461	1.97E-07	0.000111144	4.68E-06	1.23E-06	0.00014404	1.34E-05	0.8623782	0.8714964	0.86691326	1.07E-09	0
56	0.014011439	0.245901635	0.416666667	0.174418605	0.116666663	0.2	0.082352941	0.247191007	0.407407407	0.177419355	0.004505228	0.063762141	0.016985365	3.19E-08	0.000100047	1.79E-06	3.51E-07	0.000175128	7.87E-06	0.88431877	0.84341353	0.86338186	1.50E-09	0.6
