candidate_id	reference_id	similarity	dist	score
5978	1	1.5453398589298517e-07	15.682851791381836	1.0
5979	1	2.7240436434720164e-07	15.115978240966797	2.0
5980	1	1.4034764223853518e-07	15.779143333435059	1.0
5981	1	2.859702523986381e-07	15.067378044128418	1.0
5982	1	2.7790053397496996e-07	15.096002578735352	2.0
5983	1	1.8473842837862154e-07	15.504324913024902	1.0
5984	1	9.028788698241043e-08	16.22026252746582	1.0
5985	1	1.3780355035173646e-07	15.797436714172363	0.0
5986	1	1.2728517147335788e-07	15.876835823059082	2.0
5987	1	1.6404390164075162e-07	15.62313175201416	3.0
5988	1	3.408748841322778e-07	14.89175033569336	3.0
5989	1	2.532708078758248e-07	15.188806533813477	1.0
5990	1	1.706141349449239e-07	15.583861351013184	3.0
5991	1	2.3639967455162574e-07	15.257741928100586	2.0
5992	1	1.1914262564500954e-07	15.942944526672363	1.0
5993	1	2.3120863007399783e-07	15.279945373535156	2.0
5994	1	1.244992885430926e-07	15.898965835571289	2.0
5995	1	3.034213434370998e-07	15.008143424987793	2.0
5996	1	1.5025144897577888e-07	15.710955619812012	1.0
5997	1	2.593264098704389e-07	15.165178298950195	2.0
5998	1	1.2480492247206366e-07	15.896513938903809	2.0
5999	1	5.1319533001739494e-08	16.785194396972656	1.0
6000	1	3.0580110652818803e-07	15.000330924987793	2.0
6001	1	1.2974106980527614e-07	15.857725143432617	1.0
6002	1	1.782837712387531e-07	15.539889335632324	2.0
6003	1	4.645741129148818e-07	14.582144737243652	3.0
6004	1	1.26756169792128e-07	15.881000518798828	1.0
6005	1	3.491096196813808e-07	14.867879867553711	3.0
6006	1	2.359168072229216e-07	15.259786605834961	2.0
6007	1	1.9370061432085785e-07	15.456952095031738	3.0
6008	1	3.6691058385403737e-07	14.818147659301758	1.0
6010	1	2.3521970204342787e-07	15.26274585723877	1.0
6011	1	9.890212305783794e-08	16.129135131835938	1.0
6012	1	1.5342105697375993e-07	15.690079689025879	0.0
6013	1	1.4942949593059304e-07	15.71644115447998	1.0
