candidate_id	reference_id	similarity	dist	score
5978	1	6.044604033130499e-07	14.318929672241211	1.0
5979	1	8.188720896117348e-07	14.015337944030762	2.0
5980	1	3.032026622311503e-07	15.008864402770996	1.0
5981	1	3.957009385444586e-07	14.742607116699219	1.0
5982	1	1.1536543586740732e-06	13.672575950622559	2.0
5983	1	4.966970808479154e-07	14.51528549194336	1.0
5984	1	3.461474669706511e-07	14.8764009475708	1.0
5985	1	2.4448927577139233e-07	15.22409439086914	0.0
5986	1	1.1764047863355558e-06	13.653047561645508	2.0
5987	1	6.198496366131345e-07	14.29378890991211	3.0
5988	1	6.896455874469142e-07	14.187088012695312	3.0
5989	1	7.266160209854389e-07	14.134867668151855	1.0
5990	1	8.200959510555568e-07	14.01384449005127	3.0
5991	1	1.1421096906756346e-06	13.682633399963379	2.0
5992	1	5.061666472668937e-07	14.496399879455566	1.0
5993	1	7.062667360772399e-07	14.163272857666016	2.0
5994	1	6.685689549238706e-07	14.21812629699707	2.0
5995	1	7.971393517159408e-07	14.042236328125	2.0
5996	1	8.325705902257653e-07	13.998747825622559	1.0
5997	1	6.476180689996637e-07	14.249964714050293	2.0
5998	1	5.699104257051504e-07	14.377786636352539	2.0
5999	1	2.695801754264932e-07	15.126399993896484	1.0
6000	1	9.78199626546278e-07	13.837552070617676	2.0
6001	1	7.227913094010256e-07	14.140145301818848	1.0
6002	1	4.3157247354275274e-07	14.655830383300781	2.0
6003	1	1.9607148660445735e-06	13.14220142364502	3.0
6004	1	1.0616884121002592e-07	16.05823516845703	1.0
6005	1	9.191000313273299e-07	13.899870872497559	3.0
6006	1	8.652263427278831e-07	13.960274696350098	2.0
6007	1	7.177344004539374e-07	14.14716625213623	3.0
6008	1	1.3324934516187754e-06	13.528458595275879	1.0
6010	1	7.889636820732699e-07	14.052545547485352	1.0
6011	1	1.0886359164236184e-06	13.730585098266602	1.0
6012	1	3.7882735453227386e-07	14.786185264587402	0.0
6013	1	4.5870997967983954e-07	14.594847679138184	1.0
6014	1	1.1105541891766523e-06	13.710651397705078	3.0
6015	1	8.516400505161723e-07	13.976101875305176	2.0
6016	1	7.081700498096594e-07	14.160581588745117	3.0
6017	1	8.731099884982796e-07	13.951204299926758	1.0
6018	1	5.06523018642259e-07	14.495696067810059	2.0
6019	1	8.774028912981911e-07	13.94629955291748	1.0
6020	1	1.3552376423763811e-06	13.511533737182617	2.0
6021	1	7.645038814843459e-07	14.084038734436035	2.0
6022	1	6.234779588731328e-07	14.287952423095703	2.0
6023	1	1.4182722835694607e-06	13.466071128845215	2.0
6024	1	8.003699366503344e-07	14.038191795349121	1.0
6025	1	3.5455589662206095e-07	14.852399826049805	1.0
6026	1	7.165963208967789e-07	14.14875316619873	3.0
6027	1	8.729784377233138e-07	13.95135498046875	3.0
6028	1	6.746472146020696e-07	14.209075927734375	2.0
6029	1	7.66782022742755e-07	14.081063270568848	1.0
6030	1	1.190902038551685e-06	13.640799522399902	3.0
6031	1	1.0909171613017293e-06	13.72849178314209	3.0
6032	1	4.041069657115562e-07	14.721586227416992	2.0
6033	1	1.3977988604522917e-06	13.480611801147461	3.0
6034	1	9.711992470742346e-07	13.844734191894531	2.0
6035	1	3.2353384822909586e-07	14.943962097167969	1.0
6036	1	8.616041369274163e-07	13.964469909667969	2.0
6037	1	9.263801801153905e-07	13.89198112487793	2.0
6038	1	5.784475846211616e-07	14.36291790008545	2.0
6039	1	6.792761555371145e-07	14.202238082885742	1.0
6040	1	1.4328407369877268e-06	13.455851554870605	1.0
6041	1	5.027959969807793e-07	14.503081321716309	2.0
6042	1	1.850275078190469e-06	13.200176239013672	2.0
6043	1	6.151573262186865e-07	14.301387786865234	1.0
6044	1	2.997059698264185e-07	15.020463943481445	2.0
6045	1	8.875989857522671e-07	13.934745788574219	2.0
6046	1	6.116480025770817e-07	14.307108879089355	1.0
