cand id	F1 score	R score	P score	score
5094	0.43861198	0.47291923	0.5154399	1
5095	0.22681828	0.3780797	0.14257783	1
5096	0.4443187	0.47531816	0.6035078	1
5098	0.40069968	0.41199303	0.5133425	0
5099	0.22120723	0.34843972	0.22063291	1
5100	0.16445023	0.37972134	0.108008415	0
5101	0.07627203	0.21145466	0.042849973	1
5102	0.29138476	0.5464794	0.24677177	1
5104	0.5354031	0.5694322	0.54051113	1
5105	0.31715956	0.57760537	0.2177647	0
5106	0.17123128	0.32989857	0.14323686	0
5107	0.23990293	0.49294284	0.104374	2
5108	0.11329719	0.3389882	0.00585207	0
5109	0.25838423	0.5012511	0.25120178	0
5110	0.18598886	0.55565673	0.10143364	0
5112	0.3596206	0.4994694	0.3708977	2
5114	0.28296927	0.41645172	0.22015429	1
5115	0.22009301	0.3564155	0.16234002	2
5116	0.13593099	0.23224339	0.11437342	1
5117	0.2550737	0.3127666	0.2835104	1
5118	0.078844115	0.4046766	-0.0129978005	0
5119	0.29856807	0.4476212	0.24793242	0
5120	0.23960415	0.3957475	0.16460614	1
5121	0.03762976	0.36318296	-0.15225853	0
5122	0.22553489	0.4035192	0.16287029	1
5123	0.09954223	0.19916557	0.042167943	1
5124	0.41918135	0.51431876	0.47058558	2
5125	0.4060321	0.48937058	0.37652373	1
5126	0.20363778	0.39037552	0.20423734	1
5127	0.18114384	0.38211924	0.16525279	1
5128	0.27348155	0.428796	0.34069708	1
5129	0.071131766	0.34108403	-0.02797518	0
5130	0.2999002	0.38220802	0.3219498	2
5131	0.3937385	0.46091205	0.32628712	0
5132	0.22729999	0.28418073	0.22829652	0
5133	0.24600874	0.4987726	0.1254822	1
5134	0.18428521	0.40712968	0.14112675	0
5135	0.25117266	0.486961	0.139999	1
5136	0.4455647	0.44888222	0.52071184	1
5137	0.22842905	0.43338874	0.21379742	1
5138	0.25090885	0.34971172	0.23764682	0
5139	0.19190432	0.46931973	0.16663028	1
5143	0.08377955	0.48897654	0.016175173	1
5144	0.5481911	0.3600769	0.74859977	1
5145	0.52021253	0.42498037	0.7955656	1
5146	0.38776055	0.41851747	0.41000465	1
5147	0.23965147	0.38331693	0.22809029	1
5148	0.20985448	0.38150093	0.15308842	0
5150	0.07518077	0.3141005	-0.02735435	1
5152	0.39587972	0.50090235	0.3169393	1
5153	0.3783689	0.54152584	0.30485842	0
5154	0.2376123	0.3652982	0.310049	1
5155	0.18704234	0.36848244	0.20640336	0
5157	0.19079293	0.32544765	0.1665475	0
5159	0.2551387	0.5081141	0.11852184	0
5160	0.23557952	0.42600793	0.12304629	1
5162	0.29883364	0.41840038	0.3196041	0
5163	0.38964573	0.4896235	0.3752205	0
5164	0.38384256	0.44460818	0.42544228	1
5165	0.43046206	0.37795624	0.60816425	0
5166	0.25332484	0.43389457	0.19763532	0
5167	0.4019248	0.5222769	0.44740123	1
5168	0.3170035	0.5019568	0.25666967	1
5169	0.16171674	0.33238664	0.029570233	2
5170	0.21562974	0.33810177	0.15749542	1
5173	0.19547798	0.38528967	0.17634672	1
5176	0.48399365	0.5453793	0.5538716	1
5177	0.14343779	0.25160837	0.12338518	0
5178	0.32586715	0.4743235	0.33887598	1
5179	0.47316322	0.48806286	0.45663905	1
5180	0.11877225	0.40382484	0.025288101	0
5181	0.3480224	0.437487	0.3507432	1
5182	0.11446933	0.47423825	-0.035843972	1
5183	0.16986878	0.35855624	0.14029473	1
5184	0.29398155	0.20074317	0.4207144	1
5185	0.30311963	0.6055733	0.25114834	1
5186	0.13568236	0.40416652	0.07380761	1
5188	0.12384966	0.40459028	-0.002927627	1
5189	0.24437855	0.44670823	0.30608064	1
5190	0.22970891	0.42677197	0.1428863	0
5191	0.31144717	0.47340524	0.21396439	1
5192	0.29369727	0.40509328	0.25834468	0
5193	0.16860059	0.30334625	0.11923924	1
5194	0.4008247	0.51717263	0.37536556	1
5195	0.27606776	0.43656874	0.2075212	2
5196	0.21084899	0.3949679	0.15241311	1
5197	0.33742505	0.45551208	0.34229958	1
5198	0.21230967	0.44726643	0.17309222	1
5199	0.40804404	0.51944566	0.46538123	2
5201	0.25066942	0.41468945	0.19992939	1
5202	0.24539247	0.33882126	0.35378686	1
5203	0.37669915	0.4868595	0.40138027	1
5204	0.25559074	0.41319782	0.16508618	1
5205	0.40433583	0.47624528	0.43173158	1
5206	0.34112656	0.4048308	0.27682593	1
5208	0.3926317	0.43930516	0.44378486	1
5209	0.33070156	0.47507375	0.35873652	0
5210	0.47551492	0.5711361	0.59674805	1
5211	0.40525195	0.481011	0.39149368	1
5212	0.37672776	0.53136224	0.4454022	1
5213	-0.00018788216	0.32786003	-0.18942375	0
5214	0.43262836	0.4874463	0.37709326	1
5215	0.18037713	0.44987866	0.087627165	1
5216	0.330062	0.43687895	0.3473826	1
5218	0.35956055	0.5358641	0.33885583	1
5219	0.40967813	0.44635028	0.5236564	1
5220	0.35099143	0.5143591	0.266858	1
5221	0.24062549	0.48203117	0.18674164	1
5226	0.16596705	0.4759156	0.021173647	1
5227	0.2793377	0.43809682	0.21528918	1
5228	0.46211633	0.5125102	0.499639	1
5229	0.41907504	0.4682069	0.45917365	1
5230	0.3248511	0.48808056	0.28030506	1
5231	0.3644381	0.4150354	0.52911973	0
5232	0.18910445	0.43603602	0.0894419	1
5233	0.23179221	0.4564944	0.09490485	2
5234	0.36672586	0.4611653	0.2735364	2
5235	0.34401578	0.49942908	0.3059395	1
5236	0.38578	0.38938543	0.3853434	0
5237	0.25171512	0.55136716	0.13231345	1
5238	0.43997413	0.4641999	0.4201537	1
5239	0.25928128	0.49892893	0.14906311	1
5240	0.2982128	0.38151258	0.32076722	0
5241	0.2437552	0.41103444	0.20045507	1
5243	0.102947064	0.2700169	0.006190608	0
5244	0.20791952	0.6244441	0.017426739	1
5245	0.2695968	0.5450871	0.21866606	0
5247	0.45042488	0.44835058	0.46513006	1
5249	0.46244583	0.4839961	0.5652478	2
5250	0.2354831	0.3604398	0.22238432	1
5251	0.14936137	0.29038152	0.03908962	1
5253	0.25393263	0.3911735	0.26459897	1
5254	0.5371495	0.5099064	0.6715653	1
5255	0.208522	0.28819728	0.31536442	1
5256	0.26199427	0.37539813	0.27221057	1
5257	0.21666734	0.44868875	0.08275887	0
5258	0.05355348	0.19862401	-0.03129087	0
5259	0.21173225	0.2843042	0.21918465	0
5260	0.35012725	0.62987417	0.19923781	2
5262	0.382574	0.41094	0.4475452	1
5263	0.25540143	0.56530213	0.18181922	0
5264	0.12852411	0.35210785	0.0231649	1
5267	0.41166535	0.5613846	0.4304708	1
5268	0.24620616	0.3630634	0.17976145	1
5269	0.32946727	0.39190856	0.3193356	2
5270	0.36064795	0.47771394	0.3794924	1
5271	0.095907845	0.3784596	0.053088177	1
5272	0.28263023	0.5302841	0.18480945	2
5273	0.19692135	0.4137284	0.058502305	2
5274	0.2414706	0.44793388	0.23964974	1
5275	0.6376855	0.69105464	0.5841581	2
5277	0.23532629	0.37075478	0.14657839	1
5278	0.3008608	0.4420352	0.28473753	0
5279	0.42086664	0.4898085	0.4010983	1
5280	0.14913888	0.2970761	0.1789259	1
5281	0.02260731	0.22288632	-0.07679573	0
5282	0.22999108	0.38149846	0.12724105	1
5283	0.2837162	0.39273378	0.24824055	1
5284	0.15199985	0.2624465	0.13033034	1
5285	0.35664803	0.40192425	0.3434252	0
5287	0.5377622	0.52316153	0.64037097	1
5291	0.13153481	0.3183017	0.06257183	0
5292	0.24367893	0.57323474	0.13204071	1
5293	0.278096	0.57321954	0.16042836	1
5294	0.21968016	0.36647895	0.30318165	0
5298	0.3365669	0.3914671	0.38621786	1
5299	0.37152252	0.394952	0.41765943	0
5301	0.24248348	0.2987701	0.24383388	0
5303	0.29932773	0.32772917	0.39488614	0
5304	0.20429114	0.54367507	0.110462725	1
5306	0.5032311	0.4730006	0.59055424	1
5307	0.23488873	0.32626298	0.22278087	0
5308	0.16148296	0.43705723	0.025496107	0
5309	0.34756717	0.5129633	0.22826505	1
5313	0.1995577	0.32583675	0.14102452	1
5314	0.17337534	0.35899132	0.17712638	2
5315	0.06438037	0.31647223	-0.06811119	1
5316	0.4133185	0.5213812	0.44722754	0
5317	0.23804812	0.40326098	0.11490864	1
5318	0.14869213	0.29841813	0.09368866	1
5319	0.15354882	0.50522983	0.10004234	1
5320	0.2462835	0.44722927	0.06673016	1
5321	0.17875576	0.395617	0.08418307	1
5322	0.40508986	0.5374134	0.33417678	1
5323	0.21189965	0.42569065	0.14098561	1
5324	0.41644293	0.5255099	0.38035554	0
5326	0.2696222	0.46342632	0.1877905	0
5327	0.34526914	0.34971347	0.4175855	1
5330	0.29940152	0.37954128	0.21942379	1
5331	0.36389172	0.55809355	0.2985691	1
5332	0.3065845	0.3569482	0.36440217	0
5334	0.37649113	0.54775596	0.40536028	1
5335	0.22919187	0.45666522	0.12554623	0
5337	0.26593238	0.50619584	0.22916675	1
5338	0.15803538	0.31652033	0.1136967	0
5339	0.16442904	0.44511223	-0.023929352	1
5340	0.21436684	0.53605264	-0.036972787	2
5341	0.33061716	0.54363865	0.27766502	0
5342	0.2920229	0.42695555	0.28036627	1
5343	0.2226997	0.50344986	0.038257957	2
5344	0.21391939	0.30909002	0.22872174	1
5346	0.2039814	0.398462	0.18062672	1
5347	0.28912735	0.36724582	0.21831478	1
5348	0.29656	0.3992296	0.33526456	2
5349	0.420962	0.5961897	0.43853098	1
5352	0.39838117	0.51253384	0.35514492	0
5353	0.17676568	0.40264586	0.07349631	1
5355	0.15707655	0.4390632	-0.023555439	1
5357	0.22464775	0.28789166	0.31545356	0
5360	0.32275862	0.50885266	0.2735718	1
5361	0.39975744	0.44258133	0.40544555	1
5362	0.098719716	0.20487785	0.07773776	1
5363	0.14035681	0.2930387	0.014774327	1
5364	0.44024676	0.5247179	0.4431255	1
5365	0.2100332	0.3800864	0.2181786	1
5366	0.32135585	0.48511282	0.42476237	1
5367	0.3362879	0.39253995	0.36886224	1
5368	0.41774434	0.4503661	0.38761765	0
5369	0.2933561	0.38397875	0.31000122	1
5370	0.1835683	0.3261993	0.122850664	1
5371	0.26961443	0.50125253	0.25070935	2
5372	0.30584285	0.42595878	0.3625648	1
5373	0.44750246	0.39862365	0.5605383	0
5374	0.24067776	0.33655033	0.20442271	0
5376	0.2780204	0.40302575	0.17796265	0
5377	0.24104398	0.34867883	0.2324513	1
5378	0.33397362	0.47387782	0.32581487	0
5379	0.32092252	0.44653314	0.33767962	1
5380	0.28766137	0.4164871	0.22931355	1
5381	0.15753885	0.39738917	0.027573675	1
5383	0.29361922	0.3480952	0.35335776	1
5384	0.2805441	0.4126545	0.2485529	1
5386	0.19847244	0.34762862	0.27484423	1
5387	0.2389289	0.20379688	0.28969815	1
5388	0.19257075	0.32602704	0.18837418	0
5390	0.24817257	0.3505288	0.20736945	1
5391	0.43255243	0.5707838	0.357405	1
5393	0.37596494	0.5919245	0.29998836	1
5396	0.3528067	0.48269016	0.3410657	0
5397	0.12539722	0.31430534	0.03375862	0
5398	0.38897824	0.43318713	0.34353274	1
5400	0.3778526	0.5508797	0.2894332	0
5403	0.36656904	0.41308215	0.38572368	0
5404	0.280293	0.43143797	0.32184228	1
5405	0.41201112	0.5553384	0.33916393	2
5407	0.26135644	0.5181114	0.21573809	0
5410	0.3014919	0.52869695	0.23928113	0
5411	0.18361032	0.22997567	0.20069171	1
5412	0.0671707	0.20050937	0.019407732	0
5413	0.28228518	0.42713383	0.32883906	1
5414	0.34106687	0.592552	0.25541067	1
5415	0.24907242	0.48848557	0.17849892	1
5416	0.108243436	0.30786294	0.03166726	1
5417	0.2759897	0.3618929	0.29557747	1
5418	0.37464765	0.41611922	0.4269655	1
5419	0.4029776	0.54846376	0.3330936	1
5420	0.444549	0.41027853	0.47743383	1
5421	0.3860809	0.46466896	0.37208843	0
5422	0.19200075	0.46473864	0.070891306	1
5423	0.16610973	0.3052942	0.094394386	1
5424	0.1632516	0.34501	0.1555399	1
5426	0.31201613	0.42721203	0.35692498	1
5428	0.3596206	0.4994694	0.3708977	2
5429	0.34657514	0.42771077	0.32889178	0
5431	0.20330581	0.41972014	0.16209133	1
5433	0.4461089	0.53880215	0.46551213	0
5434	0.41478378	0.4818451	0.471563	0
5435	0.3909323	0.4154422	0.4323195	1
5437	0.43066972	0.5261544	0.5340694	1
5438	0.37565732	0.54379565	0.22269315	0
5439	0.29383498	0.3821974	0.2890476	1
5442	0.36869332	0.4281179	0.5746992	1
5444	0.15142879	0.58141744	-0.14129055	1
5445	0.38268524	0.39414763	0.4752321	0
5446	0.43950406	0.5324478	0.3669159	2
5447	0.3524892	0.46247125	0.441413	1
5450	0.36188436	0.4392008	0.3545117	2
5452	0.30131036	0.3586514	0.44502085	0
5454	0.23254338	0.4053147	0.23138405	1
5455	0.4090901	0.53030354	0.42545995	1
5456	0.40316442	0.401203	0.40318367	2
5458	0.43950334	0.59419715	0.33046135	1
5460	0.19678538	0.5106655	0.045739394	1
5461	0.29597586	0.61790586	0.09277103	0
5462	0.5134057	0.5459237	0.6003715	1
5463	0.4463932	0.4742319	0.4963187	1
5464	0.2791915	0.45172122	0.19684683	1
5465	0.41837722	0.34509066	0.4917872	1
5466	0.2833249	0.5019918	0.2134334	1
5469	-0.13709642	-0.017790567	-0.054394215	0
5471	0.32127357	0.4198259	0.26721704	1
5473	0.332615	0.40542048	0.28634992	1
5474	0.3574988	0.54683346	0.37795004	1
5475	0.41396904	0.37154782	0.521558	0
5477	0.25624374	0.45739248	0.25287077	1
5478	0.31902885	0.17243142	0.60455954	1
5479	0.17365856	0.28304458	0.14439362	1
5480	0.13635477	0.39068148	-0.020504	1
5481	0.44972032	0.5394247	0.48012197	1
5483	0.3410284	0.3774299	0.36120003	1
5484	0.48280138	0.5200392	0.572125	1
5485	0.42703673	0.44194606	0.50394976	1
5486	0.32853246	0.36571315	0.35591573	0
5487	0.32165426	0.4166643	0.42204487	2
5488	0.19206925	0.34409565	0.054586302	0
5489	0.4002321	0.51388085	0.41150633	1
5491	0.31964302	0.39364675	0.4196659	1
5492	0.20471069	0.33318394	0.21412747	1
5493	0.23111697	0.37932658	0.1750757	1
5494	0.34553507	0.45611024	0.36241904	1
5495	0.19170761	0.40879077	0.1711512	1
5496	0.3483632	0.39918077	0.3462198	0
5497	0.42205504	0.39530963	0.50212234	0
5499	0.32518446	0.46890375	0.2470714	1
5501	0.23582108	0.41882768	0.1759965	0
5502	0.15894443	0.3844043	0.07080923	0
5503	0.14940411	0.37502033	0.06711432	0
5504	0.29566544	0.35819578	0.36321357	1
5505	0.43784103	0.4117914	0.4905197	0
5506	0.3647538	0.42521808	0.39671645	1
5507	0.34701234	0.43979895	0.37172017	2
5508	0.17321217	0.36174965	0.15111557	2
5509	0.27188775	0.505996	0.11051402	2
5511	0.25557306	0.3366876	0.17455992	1
5512	0.355971	0.60473144	0.27848288	0
5513	0.28694764	0.49946836	0.15191044	0
5514	0.39266208	0.4797507	0.4678603	0
5515	0.32412145	0.39887127	0.33382374	1
5516	0.302901	0.36510864	0.32522234	0
5517	0.25479117	0.338927	0.33599293	0
5519	0.26236826	0.44709697	0.2256236	0
5520	0.14560974	0.43278953	0.05773078	0
5521	0.153641	0.2756047	0.042873673	0
5522	0.3999464	0.4826845	0.4384192	1
5523	0.20894615	0.34184524	0.1438959	1
5524	0.26262113	0.536995	0.13312177	1
5525	0.29149035	0.36479416	0.26380268	1
5526	0.41241476	0.3500552	0.5360486	1
5527	0.32155466	0.36829638	0.27345684	1
5528	0.24670659	0.48094875	0.15641649	1
5529	0.45647985	0.54718506	0.5197921	1
5531	0.09634188	0.48182705	-0.08895585	1
5532	0.35162252	0.2573886	0.5548826	1
5533	0.6013903	0.5588661	0.7024239	0
5534	0.28766137	0.47394925	0.2748368	1
5536	0.238895	0.47750807	0.22620764	1
5537	0.0649486	0.24771777	-0.0805865	1
5538	0.22929887	0.32047004	0.23480232	1
5539	0.44642532	0.6520014	0.3280007	1
5540	0.4765204	0.6359292	0.41325775	2
5542	0.2072584	0.5154726	0.08538652	0
5546	0.22125033	0.39842734	0.16140789	0
5547	0.2929634	0.33836105	0.38742346	1
5549	0.05579182	0.40089387	-0.0050939857	0
5550	0.4643144	0.54703295	0.49601483	1
5552	0.3880141	0.44873896	0.37291798	0
5553	0.21752834	0.41690978	0.17014161	1
5555	0.3323438	0.44575778	0.31888244	1
5556	0.100038774	0.3524796	-0.03287708	0
5557	0.20742473	0.6190466	0.091327384	0
5558	0.18897837	0.43231907	0.07305483	0
5559	0.4254574	0.5151419	0.47208902	1
5560	0.25399372	0.46950966	0.18146335	1
5561	0.31668282	0.36273867	0.28981453	2
5562	0.056774672	0.20129144	-0.03276494	0
