cand id	similarity score	score
4918	0.0013006380568525266	1
4919	0.0024884940826751622	1
4920	0.001993777251077074	1
4922	0.0040305166811695405	0
4923	0.002593154378451766	1
4925	0.0027330695565927136	1
4926	0.005134093337400792	1
4927	0.0028263957760302025	1
4929	0.009528144079806159	1
4930	0.003239738664975586	1
4931	0.004523865797329518	1
4932	0.0006024806935693364	1
4933	0.0010548187480069926	1
4934	0.0006404007261951972	1
4935	0.0007285655585356612	1
4937	0.0012427717758286012	1
4938	0.07405272117750672	1
4939	0.006060877032937759	1
4940	0.0008197371223085848	1
4941	0.0020415002204856106	0
4942	0.003082585107509035	0
4943	0.001707842738257357	1
4945	0.004495558048141597	1
4947	0.0039523012324898035	1
4949	0.002231045057368781	1
4950	0.0019567847635008407	1
4951	0.0017008008417706065	0
4952	0.0007980316551101352	0
4953	0.005387947034086375	0
4954	0.0032800165628619486	1
4955	0.003185288972052896	1
4957	0.0016630790122503171	1
4958	0.0017957348290982566	1
4959	0.006859799111338182	1
4960	0.005634991866448339	1
4962	0.006808519173740294	1
4963	0.0022794843180238555	0
4964	0.002609298872064888	1
4965	0.002852158445330756	0
4966	0.0042656855745175255	1
4967	0.011946212644605363	1
4968	0.003759585741866528	0
4969	0.0013820550885915881	1
4970	0.0017685336488863699	0
4971	0.02153199925924041	1
4972	0.005231274213021436	1
4973	0.0024063676685847045	1
4975	0.005469932836227584	1
4976	0.007117817082780964	1
4977	0.0010088753276725165	1
4978	0.0015647546128409625	1
4981	0.001516138567569101	1
4982	0.0016714281737046813	1
4983	0.0075975275760034565	1
4984	0.010508963352030724	1
4985	0.00023971735082216182	1
4986	0.000707512956327839	1
4987	0.0024101135483688184	0
4988	0.005464885560943417	1
4989	0.0031700911368494826	0
4990	0.0037229929174346335	1
4991	0.001981645262027347	1
4992	0.0008849429881463064	1
4993	0.0024157997486244174	0
4994	0.004209735285948326	0
4995	0.006581963056983514	1
4997	0.002171296052995145	0
5001	0.001694500487786353	0
5003	0.0035943256144627665	1
5004	0.007964331502474145	0
5006	0.002037916158508047	0
5007	0.0012761999224752119	0
5008	0.0023982780365725967	0
5009	0.0006756314238308125	1
5010	0.0007020026951739175	1
5011	0.002082909066342515	0
5012	0.006496960530456296	1
5013	0.0004368288589812081	1
5014	0.004272553940260445	0
5017	0.00037812679899146804	0
5018	0.0036122892628997227	0
5019	0.003948624196842271	1
5020	0.003227528242034742	1
5021	0.0009088138365518931	1
5022	0.016663002475446127	0
5023	0.00783840371054277	1
5024	0.000808016716702504	1
5025	0.004213354099973143	1
5026	0.001875611546360221	1
5028	0.001901127058244187	0
5029	0.001012316498576069	1
5030	0.00751783783996506	0
5031	0.0011844234479831213	1
5033	0.00559771839090945	1
5034	0.006215071050728761	1
5036	0.0037857820318951936	1
5037	0.001925498027498472	1
5038	0.004340693688931585	0
5039	0.005838298997711713	1
5040	0.004124486581028188	1
5041	0.00391592717330184	0
5042	0.002106724259972248	0
5043	3.043075330598657e-05	0
5046	0.012854214586179505	1
5047	0.008522539880885034	1
5048	0.005063989527197077	1
5050	0.002242618757738913	0
5051	0.0010245698057410042	1
5053	0.002556953348365706	1
5054	0.0008917956527300131	1
5056	0.002665937865640722	1
5058	0.005001046437772543	1
5059	0.0066782919983288105	1
5060	0.028551181039765814	1
5061	0.002917489358512516	1
5062	0.002314919521833681	0
5063	0.002848367884229345	1
5064	0.0019283537501959185	1
5065	0.0013673840932851714	1
5066	0.001573509517905706	1
5067	0.000898065661943083	0
5068	0.005059777631094183	1
5069	0.0022005275934340687	1
5071	0.0012474930746100507	1
5073	0.0030157120264598623	0
5074	0.002544737689896677	1
5075	0.004327425865693018	1
5076	0.01954112014550206	1
5079	0.0009148042750050392	0
5083	0.0024360384506305088	1
5084	0.000671712086605272	1
5085	0.0023289252922261802	0
5086	0.001609688600133005	1
5087	0.001889192162607657	1
5089	0.017929840775134254	1
5090	0.0018328288889323124	1
5091	0.0022078870243380736	0
5092	0.009852242819128996	1
5094	0.005299067796114362	1
5095	0.0016713644149959506	1
5096	0.013366848286998663	1
5098	0.009725131587964309	1
5099	0.0016806284555671133	1
5100	0.0014354066545638766	0
5101	0.0012159956672476331	1
5102	0.0005597710204325554	1
5104	0.004348170042927223	1
5105	0.0035755117542931062	1
5106	0.002707153392087063	0
5107	0.0034161431856220893	1
5108	0.0037046129992273046	0
5109	0.0020563594377437985	0
5110	0.0015068885444729425	0
5112	0.0034103767094116363	1
5114	0.0012636404134318106	1
5115	0.0010579655284061336	1
5116	0.002248470452953929	1
5117	0.0021774018252464127	1
5118	0.0015489438893607813	0
5119	0.004961664246407865	0
5120	0.0016358110995374241	1
5121	0.0046713763151316826	0
5122	0.0019415819405961534	1
5123	0.0012484178157223065	1
5124	0.008796248908658778	1
5125	0.002167996816150795	1
5126	0.0017035539967862974	1
5127	0.00108951053986947	0
5128	0.001720207781752983	1
5129	0.002739198989957651	1
5130	0.0007074066932413348	1
5131	0.0006332821759641925	0
5132	0.001414039793720347	0
5133	0.0019970408445162853	1
5134	0.0022192728629455358	0
5135	0.0007413615054010979	1
5136	0.0018149722778448914	1
5137	0.0010977975755616023	0
5138	0.001546692814978947	0
5139	0.004643956565016284	0
5143	0.0032817577944675475	1
5144	0.0012422426968942632	1
5145	0.01636315899755032	1
5146	0.0026507129039217165	1
5147	0.002431809278719577	1
5148	0.0027228791049440358	0
5150	0.0014560038725472985	1
5152	0.01432006937035494	1
5153	0.007083957477822864	0
5154	0.002435038523773502	1
5155	0.0010383875589311624	0
5157	0.0006645306107581362	0
5159	0.002940322438815759	0
5160	0.0012664224352297569	1
5162	0.003553987188878405	0
5163	0.0011021693856364432	0
5164	0.0017709108284120715	1
5165	0.001334910858085366	0
5166	0.0031908741698334553	0
5167	0.0033265244252711755	1
5168	0.0039488670920582464	1
5169	0.0013472025812404894	1
5170	0.0009499065216531584	1
5173	0.0014677467596408054	1
5176	0.029543547283881776	1
5177	0.0008860796707384766	0
5178	0.0030549814158707827	1
5179	0.005733957654286169	1
5180	0.002402214062341994	0
5181	0.00961935906235114	1
5182	0.008018361381839714	1
5183	0.0018541534057406645	1
5184	0.00253075511472151	1
5185	0.019340424638325776	1
5186	0.0015563333665632108	1
5188	0.005357189664363165	1
5189	0.005210543978435429	1
