cand id	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	score
0	0.22916666167534733	0.2391304347826087	0.22	0.08510637798777757	0.08888888888888889	0.08163265306122448	0.27397259781572536	0.3125	0.24390243902439024	0.6
1	0.2777777727777779	0.2777777777777778	0.2777777777777778	0.028571423571429444	0.02857142857142857	0.02857142857142857	0.21212120712121227	0.21212121212121213	0.21212121212121213	1.0
2	0.4587155915528996	0.3787878787878788	0.5813953488372093	0.26168223822167874	0.2153846153846154	0.3333333333333333	0.4782608647164461	0.4074074074074074	0.5789473684210527	0.4
3	0.26086956022684316	0.25	0.2727272727272727	0.05970148754733836	0.05714285714285714	0.0625	0.258064511149844	0.24242424242424243	0.27586206896551724	1.0
4	0.333333328456363	0.288135593220339	0.3953488372093023	0.0799999951280003	0.06896551724137931	0.09523809523809523	0.302325576462953	0.2708333333333333	0.34210526315789475	0.4
5	0.24999999500000009	0.25	0.25	0.06451612403225845	0.06451612903225806	0.06451612903225806	0.31372548535178785	0.38095238095238093	0.26666666666666666	0.4
6	0.3820224669864916	0.34	0.4358974358974359	0.11494252381556369	0.10204081632653061	0.13157894736842105	0.3835616388590731	0.358974358974359	0.4117647058823529	1.0
7	0.4047618998072563	0.4473684210526316	0.3695652173913043	0.12195121455978604	0.13513513513513514	0.1111111111111111	0.34374999523925787	0.44	0.28205128205128205	-0.2
8	0.405405400496713	0.35714285714285715	0.46875	0.12328766632670314	0.10843373493975904	0.14285714285714285	0.3193277260956148	0.3114754098360656	0.3275862068965517	0.6
