candidate_id	reference_id	similarity score	dist	score
5978	1	0.0033641864582348827	5.694569110870361	1.0
5979	1	0.004967130131547036	5.30491304397583	2.0
5980	1	0.0036984706868636937	5.5998358726501465	1.0
5981	1	0.002497294053121119	5.9925475120544425	1.0
5982	1	0.0038604204391309476	5.556979179382324	2.0
5983	1	0.003330244581208079	5.704709529876709	1.0
5984	1	0.0020692971224842574	6.180546283721924	1.0
5985	1	0.0026904855498510486	5.9180335998535165	0.0
5986	1	0.0026339140039774948	5.939284324645996	2.0
5987	1	0.0053002833226631725	5.239995002746582	3.0
5988	1	0.004382716187340732	5.430086612701416	3.0
5989	1	0.003950226827965307	5.533982276916504	1.0
5990	1	0.0036307858738142775	5.6183061599731445	3.0
5991	1	0.003901955180872623	5.5462775230407715	2.0
5992	1	0.0044498281013087655	5.4148898124694815	1.0
5993	1	0.004037851552366138	5.51204252243042	2.0
5994	1	0.0034907853611889817	5.657628536224365	2.0
5995	1	0.005381289284381957	5.224827289581299	2.0
5996	1	0.0032617138822586995	5.7255024909973145	1.0
5997	1	0.004515043050797065	5.400340557098389	2.0
5998	1	0.003934077791970907	5.538078784942627	2.0
5999	1	0.0017094649046539734	6.371574878692628	1.0
6000	1	0.005406376331178961	5.2201762199401855	2.0
6001	1	0.003379304327045829	5.690085411071777	1.0
6002	1	0.0038532149493377492	5.558847427368164	2.0
6003	1	0.00921233885587475	4.687211513519287	3.0
6004	1	0.002510174726889764	5.98740291595459	1.0
6005	1	0.006334090373573518	5.061809062957764	3.0
6006	1	0.004579392260305086	5.386188983917236	2.0
6007	1	0.004440093138860854	5.4170799255371085	3.0
6008	1	0.004781796816907638	5.3429388999938965	1.0
6010	1	0.005332465619326736	5.233941555023193	1.0
6011	1	0.0010629402352079302	6.846716403961183	1.0
6012	1	0.0023009343430234913	6.074440002441406	0.0
6013	1	0.0031264664885645925	5.767851829528809	1.0
6014	1	0.004807627336596707	5.337551593780519	3.0
6015	1	0.003674961524239649	5.606212615966797	2.0
6016	1	0.005077207905017191	5.282993793487549	3.0
6017	1	0.00459367135976983	5.383075714111328	1.0
6018	1	0.002872346903789888	5.852625846862793	2.0
6019	1	0.0036819600890509604	5.604310035705566	1.0
6020	1	0.004400463433602067	5.4260454177856445	2.0
6021	1	0.006053728374923381	5.107080936431885	2.0
6022	1	0.004926222406399818	5.313182830810547	2.0
6023	1	0.0052149335964290725	5.256228923797607	2.0
6024	1	0.0038017102458171225	5.572304248809815	1.0
6025	1	0.003616706661888711	5.622191429138184	1.0
6026	1	0.0066136786904480785	5.018615245819092	3.0
6027	1	0.00495550252487305	5.307256698608398	3.0
6028	1	0.003824656713356668	5.566286563873291	2.0
6029	1	0.005083760939063511	5.2817039489746085	1.0
6030	1	0.0055986526889166615	5.185229301452637	3.0
6031	1	0.005586223288122368	5.1874518394470215	3.0
6032	1	0.005055612630656729	5.287256240844727	2.0
6033	1	0.005658257903722614	5.1746392250061035	3.0
6034	1	0.003980720985062188	5.526292324066162	2.0
6035	1	0.002681011202792129	5.921561241149902	1.0
6036	1	0.006086310679760777	5.101713180541992	2.0
6037	1	0.003582406338030922	5.631720542907715	2.0
6038	1	0.00273048777667678	5.903275012969973	2.0
6039	1	0.003166275090336214	5.755199432373048	1.0
6040	1	0.004036350021443494	5.512414455413818	1.0
6041	1	0.002373547114259496	6.043369770050049	2.0
6042	1	0.00559520723701141	5.185844898223877	2.0
6043	1	0.003853959150402025	5.558654308319092	1.0
6044	1	0.001480165112425249	6.515601634979247	2.0
6045	1	0.0055574760729418535	5.192611217498778	2.0
6046	1	0.0041863245685729855	5.475932121276856	1.0
6047	1	0.0027057067120104124	5.912392139434815	1.0
6048	1	0.004579628097811967	5.38613748550415	1.0
6049	1	0.00275273138664854	5.8951616287231445	1.0
6050	1	0.0068289771716915715	4.9865803718566895	3.0
6051	1	0.004908512276003246	5.316784381866455	1.0
