candidate_id	reference_id	similarity	score
1	8	1	0.8862132997898319
2	9	1	0.6300881468295002
3	12	1	0.6616933984556063
4	17	0	0.47373964004274327
5	20	2	0.7661565016009028
6	24	1	0.7771710008084285
7	29	1	0.7036221922592193
10	33	2	0.6454265926497179
11	34	0	0.9594880458994745
13	42	2	0.7037060624675808
14	43	2	0.8222672338010394
15	44	0	0.6040128782101256
16	50	0	0.7497153770440844
18	59	0	0.5114064111407266
19	60	0	0.7591539162625407
21	62	0	0.8460917187851322
22	69	2	0.9064605914251304
23	76	0	0.6341534145089277
25	77	1	0.9949620563926881
26	81	2	0.7106069190423542
27	86	2	0.8304071154994032
28	91	0	0.7009176033711936
30	93	2	0.8129190912703487
31	95	2	0.8499000793562427
32	97	0	0.7156432502165971
35	99	1	0.8600664163666237
36	101	2	0.8562543046500157
37	108	2	0.8310328476668203
38	126	0	0.7460318332807702
39	130	1	0.8006314107225011
40	131	2	0.860856288920135
41	135	1	0.7661776831567257
45	138	2	0.8674475621564911
46	139	0	0.5169905848280365
47	143	2	0.7178097912981285
48	144	0	0.5528847956634484
49	146	0	0.5356078979453984
51	153	1	0.8857658352498168
52	168	0	0.6476730353346886
53	174	2	0.7308627925512843
54	182	2	0.9012509727727087
55	188	2	0.6767333868110545
56	195	1	0.8408534475630522
57	196	0	0.6990960272730791
58	199	2	0.7236669604099635
61	204	1	0.7850433935017941
63	206	1	0.7754265280756428
64	209	0	0.7600073805412416
65	211	0	0.5279369360091544
66	228	0	0.7905086660298325
67	236	1	0.7269622506332527
68	239	2	0.7982567838237158
70	241	1	0.7517504986200619
71	245	1	0.7297839189021563
72	252	2	0.8651768640020698
73	254	0	0.7182395492136839
74	256	1	0.6427035524724098
75	265	1	0.7060329636905439
78	270	0	0.725657399223183
79	281	1	0.8972447875010534
80	291	1	0.846107216205281
82	302	2	0.6852888497278545
83	303	2	0.8803568923566635
84	313	0	0.5381875141828957
85	322	1	0.6108538703604485
87	325	0	0.7600504802131587
88	327	1	0.7757519056860973
89	337	0	0.5144045842337229
90	341	2	0.7767045517100619
92	342	0	0.6363597390392489
94	343	1	0.878758898564055
96	344	0	0.7036555673149997
98	359	1	0.6940324545832102
100	362	2	0.6412865515395181
102	364	2	0.8984717963753733
103	365	1	0.6428983999125443
104	367	2	0.778460179526363
105	390	0	0.7225310508984685
106	393	1	0.827897563066419
107	395	2	0.8024078692009282
109	415	1	0.7751503754030872
110	417	0	0.6355765785330959
111	421	0	0.5887354737681424
112	423	1	0.6832632618508908
