metric,correlation,cs-en,de-en,et-en,fi-en,ru-en,tr-en,zh-en
BERT_WMS,Spearman,0.8999999999999998,0.9441176470588234,0.8932898694815322,0.9333333333333332,0.9047619047619048,0.7,0.8989010989010989
BERT_WMS,Pearson,0.9380204388390407,0.9027813103355955,0.8940928150329931,0.9263414635456695,0.9503558598335136,0.7689456199899831,0.8467028327857181
BERT_WMS,Kendall,0.7999999999999999,0.8499999999999999,0.7734924681537618,0.8333333333333334,0.7857142857142856,0.6,0.7802197802197802
BERT_SMS,Spearman,0.8999999999999998,0.9558823529411766,0.9394945179029908,1.0,0.9047619047619048,0.3,0.8945054945054945
BERT_SMS,Pearson,0.9637126652964361,0.9356989258917703,0.9407476022158848,0.9517063381838493,0.9794375776180863,0.5784055580252683,0.9554908156894741
BERT_SMS,Kendall,0.7999999999999999,0.8666666666666667,0.8618916073713346,1.0,0.7857142857142856,0.19999999999999998,0.7582417582417583
BERT_S+WMS,Spearman,0.8999999999999998,0.9441176470588234,0.906491197601949,0.9333333333333332,0.9047619047619048,0.7,0.8901098901098902
BERT_S+WMS,Pearson,0.9445215187392357,0.9109376012072323,0.9050926449121229,0.940328486791485,0.9601901260728128,0.7627343717880262,0.8767482244555381
BERT_S+WMS,Kendall,0.7999999999999999,0.8499999999999999,0.8176920377625482,0.8333333333333334,0.7857142857142856,0.6,0.7582417582417583
ELMO_S+WMS,Spearman,0.8999999999999998,0.9441176470588234,0.9108916403087545,0.9333333333333332,0.9047619047619048,0.39999999999999997,0.8769230769230769
ELMO_S+WMS,Pearson,0.9496962825171165,0.9044385581642396,0.912158686379176,0.9493475729736327,0.9722350757059923,0.588082740533469,0.892800602330242
ELMO_S+WMS,Kendall,0.7999999999999999,0.8499999999999999,0.8397918225669414,0.8333333333333334,0.7857142857142856,0.39999999999999997,0.7142857142857144
ELMO_SMS,Spearman,0.8999999999999998,0.9411764705882352,0.9702976168506299,1.0,1.0,-0.6,0.9032967032967033
ELMO_SMS,Pearson,0.9656985424099475,0.9329048735695045,0.9577498026969152,0.9756519828947724,0.9890449523342117,-0.40011329941234863,0.976149579442627
ELMO_SMS,Kendall,0.7999999999999999,0.8333333333333333,0.9060911769801211,1.0,0.9999999999999998,-0.39999999999999997,0.7802197802197802
ELMO_WMS,Spearman,0.8999999999999998,0.9264705882352942,0.8734878773009072,0.8666666666666667,0.880952380952381,0.39999999999999997,0.8549450549450549
ELMO_WMS,Pearson,0.9493403455814678,0.8986404001585053,0.8997125490795862,0.9357514283490328,0.9607564957850154,0.6549837892993375,0.8458927037311514
ELMO_WMS,Kendall,0.7999999999999999,0.8333333333333333,0.7734924681537618,0.7222222222222222,0.7142857142857142,0.39999999999999997,0.6703296703296704
GLOVE_S+WMS,Spearman,0.8999999999999998,0.976470588235294,0.968097395497227,0.9833333333333333,0.9761904761904763,0.7999999999999999,0.8945054945054945
GLOVE_S+WMS,Pearson,0.9299831832591703,0.9812502986440981,0.982700101783629,0.9912496850945234,0.9916870888036403,0.8660177810121098,0.9779670701562896
GLOVE_S+WMS,Kendall,0.7999999999999999,0.9166666666666666,0.8839913921757279,0.9444444444444445,0.9285714285714285,0.6,0.8021978021978022
GLOVE_SMS,Spearman,0.8999999999999998,0.9794117647058824,0.9790985022642409,0.9833333333333333,0.9761904761904763,-0.09999999999999999,0.8945054945054945
GLOVE_SMS,Pearson,0.9455449291692117,0.9855809008524177,0.9847414904881588,0.986977442656942,0.9938321645354535,0.20521783329484802,0.9847485847994165
GLOVE_SMS,Kendall,0.7999999999999999,0.9333333333333332,0.9281909617845142,0.9444444444444445,0.9285714285714285,0.0,0.7802197802197802
GLOVE_WMS,Spearman,0.7,0.976470588235294,0.968097395497227,0.9833333333333333,0.9761904761904763,0.6,0.9120879120879121
GLOVE_WMS,Pearson,0.9118827355028182,0.9749993799194552,0.9761487963677443,0.9903075507841156,0.9916878193730942,0.8706132316422341,0.9733572110046246
GLOVE_WMS,Kendall,0.6,0.9166666666666666,0.8839913921757279,0.9444444444444445,0.9285714285714285,0.39999999999999997,0.8241758241758242
