LP,SYSTEM,BERT_WMS,BERT_SMS,BERT_S+WMS,ELMO_S+WMS,ELMO_SMS,ELMO_WMS,GLOVE_S+WMS,GLOVE_SMS,GLOVE_WMS,HUMAN
cs-en,CUNI-Transformer.5560,0.029120613969156564,0.056616763061847236,0.03310118270827317,0.0293772536578665,0.06461637596340677,0.024007449908026727,0.2936875753736042,0.46524881123532774,0.20259677807449394,0.298
cs-en,online-A.0,0.016183977088998977,0.033817326311738116,0.018404850172580638,0.016922746256526268,0.04123231793554827,0.01389893671266309,0.2522596616395855,0.4273179924581298,0.16398336943989794,-0.023
cs-en,online-B.0,0.027821582466425566,0.0520865373682817,0.03129014518273777,0.02670326076769908,0.058971335276854504,0.02165360481651797,0.2919138724087094,0.4604540177276099,0.20426957217663927,0.115
cs-en,online-G.0,0.00918230061974602,0.021158907097235283,0.010445206299792448,0.00931023539052768,0.02864508561891615,0.007495556861527621,0.2376222218535544,0.41712725082038493,0.1486837861667725,-0.183
cs-en,uedin.5561,0.022767614199735123,0.04708526612043465,0.026120588819303892,0.02205577196923409,0.0532645901897004,0.01778826827345152,0.2788550125615683,0.4531145183767169,0.18868993771477238,0.165
de-en,JHU.5706,0.04308369297717207,0.08440415890892965,0.05003905491007785,0.044228744777220344,0.09542653585684928,0.033954502326290964,0.3816646130420692,0.5282839787313096,0.29315802240433525,0.317
de-en,LMU-nmt.5756,0.03494908354656926,0.07139104313595275,0.040894767484614535,0.035790680519057406,0.08068978042131707,0.027506380202457065,0.3582218361159069,0.5129946808083818,0.2678217480576247,0.162
de-en,LMU-unsup.5650,0.0030341160252454155,0.00970620912827852,0.0037632876904202827,0.00354622140403842,0.015691467185327324,0.002551382120470497,0.1807217562563688,0.37283107407303706,0.0975082253687172,-0.835
de-en,MLLP-UPV.5554,0.04597251416435517,0.08724204915890241,0.052795874186185546,0.045782965513068576,0.09678817906456905,0.03546379974068113,0.3848711315896569,0.5315876044657107,0.2957152741696611,0.321
de-en,NJUNMT-private.5406,0.02725431271502277,0.06044375755610229,0.032440835743590926,0.029765194144836058,0.07118569307569968,0.022634140518618718,0.3345573415038491,0.49641043990459116,0.24223991284196858,0.149
de-en,NTT.5666,0.04864598616612569,0.09256592475286209,0.05597585171977164,0.04834316038082226,0.10300795493437077,0.0370700955906101,0.39536010800118604,0.5396083120949656,0.3067283023634512,0.359
