candidate_id	reference_id	similarity	score
4918	4921	5.741450871504982e-06	1
4918	4924	1.3425512002644774e-06	1
4918	4928	8.986678992449209e-06	1
4918	4936	7.805394525702947e-06	1
4918	4944	1.8607171000609093e-06	1
4918	4946	1.6465949464525476e-06	1
4918	4948	5.7926710842840146e-06	1
4918	4956	6.429801085550635e-06	1
4918	4961	7.427956141080482e-06	1
4918	4974	2.34534169972082e-06	1
4918	4979	6.880213686114009e-06	1
4918	4980	6.5634304697151576e-06	1
4918	4996	7.291452175078878e-06	1
4918	4998	1.63409508148385e-05	1
4918	4999	1.765957381594498e-06	1
4918	5000	5.062702170855396e-06	1
4918	5002	1.4451085019796307e-05	1
4918	5005	8.740918609348777e-06	1
4918	5015	2.123121760208724e-06	1
4918	5016	3.2923530274674194e-06	1
4918	5027	3.996315947840602e-06	1
4918	5032	1.0228558659683912e-05	1
4918	5035	4.310116632707602e-06	1
4918	5044	3.7898907302228484e-06	1
4918	5045	2.155643102738853e-06	1
4918	5049	2.0641684109900956e-06	1
4918	5052	6.943513017646293e-06	1
4918	5055	8.309884865911871e-06	1
4918	5057	1.31786523663964e-06	1
4918	5070	1.7326927534380588e-06	1
4918	5072	7.5440228631714045e-06	1
4918	5077	2.275360711780612e-06	1
4918	5078	5.857265387938902e-06	1
4918	5080	3.238456504516622e-05	1
4918	5081	8.257157687511693e-07	1
4918	5082	1.1261129888261326e-05	1
4918	5088	5.238370286304196e-06	1
4918	5093	3.5110343531057736e-06	1
4918	5097	2.815902732916318e-06	1
4918	5103	3.427788434996053e-06	1
4918	5111	3.905119103895951e-06	1
4918	5113	1.8297793813290082e-06	1
4918	5140	2.605342545854868e-06	1
4918	5141	1.782015096916885e-05	1
4918	5142	4.6764996643676475e-06	1
4918	5149	9.176374044555539e-07	1
4918	5151	7.144955836678128e-06	1
4918	5156	3.1309702010477e-06	1
4918	5158	2.5165827140635062e-06	1
4918	5161	3.098406023786448e-06	1
4918	5171	1.334453818771978e-05	1
4918	5172	1.8846176732541878e-06	1
4918	5174	2.163227858348758e-06	1
4918	5175	1.2262400251793315e-06	1
4918	5187	1.3122892700821626e-06	1
4918	5200	1.7719234834504484e-05	1
4918	5207	1.1415233431936566e-05	1
4918	5217	5.811744754372799e-06	1
4918	5222	3.5100734986036387e-06	1
4918	5223	1.262049396107778e-05	1
4918	5224	2.248465948653922e-06	1
4918	5225	5.967744986699615e-06	1
4918	5242	2.297959422222906e-06	1
4918	5246	4.418084086363789e-06	1
4918	5248	5.811744754372799e-06	1
4918	5252	6.228174366907452e-06	1
4918	5261	1.4464969785874961e-05	1
4918	5265	7.696667977312627e-06	1
4918	5266	3.93934851003053e-06	1
4918	5276	2.5041455469125634e-06	1
4918	5286	1.3986269264975468e-06	1
4918	5288	5.162382707942888e-06	1
4918	5289	4.746960232216149e-06	1
4918	5290	4.876304153712023e-06	1
4918	5295	3.0413446213291443e-06	1
4918	5296	1.480553963382508e-05	1
4918	5297	7.192284956102151e-06	1
4918	5300	1.5874545432541266e-05	1
4918	5302	5.321580516688602e-07	1
4918	5305	3.801514104148358e-06	1
4918	5310	6.191846912686979e-06	1
4918	5311	4.151965701757445e-06	1
4918	5312	4.741065144270822e-06	1
4918	5325	2.637102019352539e-06	1
4918	5328	2.2304002463695432e-06	1
4918	5329	1.1772897803629983e-05	1
4918	5333	3.0986571979376576e-06	1
4918	5336	5.219640006067645e-06	1
4918	5345	6.545340812880203e-06	1
4918	5350	2.0438864028470804e-06	1
4918	5351	6.481850010520239e-06	1
4918	5354	7.154576807173321e-06	1
4918	5356	2.5122448564267237e-06	1
4918	5358	8.968147283886245e-07	1
4918	5359	4.351260043127724e-06	1
4918	5375	2.2565688295413714e-06	1
4918	5382	7.366293568284577e-06	1
4918	5385	4.675023684465971e-06	1
4918	5389	9.143053253243868e-06	1
4918	5392	9.551975651601182e-06	1
4918	5394	2.5662398866955434e-06	1
4918	5395	8.529596850828818e-06	1
4918	5399	1.4464969785874961e-05	1
4918	5401	4.9153416276868434e-06	1
4918	5402	1.951448249812757e-05	1
4918	5406	9.994406666215125e-06	1
4918	5408	8.401923705938574e-06	1
4918	5409	2.7384647682687735e-06	1
4918	5425	7.470958689795391e-06	1
4918	5427	6.949564491113725e-07	1
4918	5430	4.546715293297042e-06	1
4918	5432	4.038509704661636e-06	1
4918	5436	4.1307332436457175e-06	1
4918	5440	1.5347682244547132e-05	1
4918	5441	4.762250029698796e-06	1
4918	5443	1.1183174805375698e-05	1
4918	5448	3.6463850004288186e-06	1
4918	5449	1.3420155208535853e-05	1
4918	5451	3.563625637660101e-06	1
4918	5453	2.326453257869919e-06	1
4918	5457	4.0976730846077435e-06	1
4918	5459	2.3387237356200188e-06	1
4918	5467	2.2051827673907134e-06	1
4918	5468	1.0215885389525288e-05	1
4918	5470	4.235943903261375e-06	1
4918	5472	2.319076776806943e-06	1
4918	5476	4.001887968386167e-06	1
4918	5482	5.769950031976515e-06	1
4918	5490	5.401541720439397e-06	1
4918	5498	8.453635899545606e-06	1
4918	5500	7.916268482857721e-06	1
4918	5510	3.93934851003053e-06	1
4918	5518	2.076530336991555e-06	1
4918	5530	1.8456401009330516e-06	1
4918	5535	1.2958087977220951e-06	1
4918	5541	1.3563373649204675e-05	1
4918	5543	3.2492824264292877e-06	1
4918	5544	3.7014307835452294e-06	1
4918	5545	5.189061476069027e-06	1
4918	5548	4.697933651708789e-06	1
4918	5551	6.660313860213086e-06	1
4918	5554	1.0238015346085394e-05	1
4918	5565	8.084637278094835e-06	1
4918	5569	2.9956267400119073e-06	1
4918	5570	8.986678992449209e-06	1
4918	5573	8.208749319834693e-06	1
4918	5574	9.56542583559314e-07	1
4918	5576	8.837621936729736e-06	1
4918	5577	4.409921826981408e-06	1
4918	5581	7.567881636510236e-06	1
4918	5583	3.097236116093428e-06	1
4918	5586	1.0489602415118429e-05	1
4918	5587	1.9744324745187697e-05	1
4918	5588	3.4107146474314147e-06	1
4918	5595	1.7493152850461533e-05	1
4918	5601	6.1969332102402904e-06	1
4918	5602	5.777030785049932e-06	1
4918	5615	4.876304153712023e-06	1
4918	5616	4.321670116162693e-06	1
4918	5618	4.242371915903997e-06	1
4918	5619	9.14662022233179e-06	1
4918	5622	9.5043882709934e-06	1
4918	5623	1.3757192967461458e-05	1
4918	5630	7.463292473569356e-07	1
4918	5638	7.321288672077408e-06	1
4918	5643	2.910969018589743e-06	1
4918	5645	4.161066956868308e-06	1
4918	5655	8.740918609348777e-06	1
4918	5656	9.063309825459105e-07	1
4918	5659	1.799987655686532e-06	1
4918	5660	1.6555322233166317e-06	1
4918	5669	3.825925878956493e-06	1
4918	5670	3.990664151266618e-06	1
4918	5671	8.31851165776798e-06	1
4918	5672	4.190428358073851e-06	1
4918	5684	2.8265949760422197e-06	1
4918	5688	7.864512661844372e-06	1
4918	5691	7.890445959976166e-06	1
4918	5694	7.7651235763998e-06	1
4918	5696	9.363722526781728e-06	1
4918	5706	9.309150558082112e-06	1
4918	5708	4.846844820513038e-06	1
4918	5719	1.2772268600309503e-05	1
4918	5720	2.247171161847976e-06	1
4918	5726	7.1139312856363425e-06	1
4918	5731	6.608977427462349e-07	1
4918	5732	2.472843277453014e-06	1
4918	5733	2.9369801566330627e-06	1
4918	5734	4.362461988268192e-06	1
4918	5741	1.6604180298138859e-06	1
4918	5744	5.6997430980850015e-06	1
4918	5750	1.1479819486632383e-05	1
4918	5751	1.955978571433655e-06	1
4918	5752	7.666624955154182e-06	1
4918	5753	1.0593632808476035e-05	1
4918	5760	5.579567423474146e-06	1
4918	5761	5.293516308034116e-06	1
4918	5762	3.5279575560135975e-06	1
4918	5774	4.190772054303338e-06	1
