cand id	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	score
0	0.22916666167534733	0.2391304347826087	0.22	0.08510637798777757	0.08888888888888889	0.08163265306122448	0.27397259781572536	0.3125	0.24390243902439024	0.6
1	0.2777777727777779	0.2777777777777778	0.2777777777777778	0.028571423571429444	0.02857142857142857	0.02857142857142857	0.21212120712121227	0.21212121212121213	0.21212121212121213	1.0
2	0.4587155915528996	0.3787878787878788	0.5813953488372093	0.26168223822167874	0.2153846153846154	0.3333333333333333	0.4782608647164461	0.4074074074074074	0.5789473684210527	0.4
3	0.26086956022684316	0.25	0.2727272727272727	0.05970148754733836	0.05714285714285714	0.0625	0.258064511149844	0.24242424242424243	0.27586206896551724	1.0
4	0.333333328456363	0.288135593220339	0.3953488372093023	0.0799999951280003	0.06896551724137931	0.09523809523809523	0.302325576462953	0.2708333333333333	0.34210526315789475	0.4
5	0.24999999500000009	0.25	0.25	0.06451612403225845	0.06451612903225806	0.06451612903225806	0.31372548535178785	0.38095238095238093	0.26666666666666666	0.4
6	0.3820224669864916	0.34	0.4358974358974359	0.11494252381556369	0.10204081632653061	0.13157894736842105	0.3835616388590731	0.358974358974359	0.4117647058823529	1.0
7	0.4047618998072563	0.4473684210526316	0.3695652173913043	0.12195121455978604	0.13513513513513514	0.1111111111111111	0.34374999523925787	0.44	0.28205128205128205	-0.2
8	0.405405400496713	0.35714285714285715	0.46875	0.12328766632670314	0.10843373493975904	0.14285714285714285	0.3193277260956148	0.3114754098360656	0.3275862068965517	0.6
9	0.20689654693816897	0.2608695652173913	0.17142857142857143	0.03508771451985292	0.044444444444444446	0.028985507246376812	0.18556700554362857	0.23684210526315788	0.15254237288135594	-0.2
10	0.2689075589435775	0.47058823529411764	0.18823529411764706	0.10256409851413557	0.18181818181818182	0.07142857142857142	0.2680412327643746	0.41935483870967744	0.19696969696969696	0.8
11	0.30769230270143916	0.29508196721311475	0.32142857142857145	0.10434782109640856	0.1	0.10909090909090909	0.29166666166883687	0.2978723404255319	0.2857142857142857	0.8
12	0.3168316781727282	0.32653061224489793	0.3076923076923077	0.12121211621671278	0.125	0.11764705882352941	0.2826086906521739	0.2826086956521739	0.2826086956521739	0.0
13	0.36363635878696815	0.30985915492957744	0.44	0.20168066742461704	0.17142857142857143	0.24489795918367346	0.39999999520000007	0.3333333333333333	0.5	0.4
14	0.2255639048561254	0.25862068965517243	0.2	0.061068697374279286	0.07017543859649122	0.05405405405405406	0.2264150894535423	0.26666666666666666	0.19672131147540983	0.8
15	0.10810810311176064	0.1111111111111111	0.10526315789473684	0.0	0.0	0.0	0.1111111068672841	0.18181818181818182	0.08	-0.4
16	0.340425527240833	0.2711864406779661	0.45714285714285713	0.19565216925330825	0.15517241379310345	0.2647058823529412	0.3809523762358277	0.3076923076923077	0.5	0.0
17	0.30232557666576526	0.24528301886792453	0.3939393939393939	0.023809519092971455	0.019230769230769232	0.03125	0.29850745774114507	0.2702702702702703	0.3333333333333333	-0.4
18	0.2619047570068028	0.3055555555555556	0.22916666666666666	0.024390239009519123	0.02857142857142857	0.02127659574468085	0.21917807726778019	0.25	0.1951219512195122	0.8
19	0.26086956021975427	0.2553191489361702	0.26666666666666666	0.06666666166913617	0.06521739130434782	0.06818181818181818	0.31428570930204086	0.3333333333333333	0.2972972972972973	-0.4
20	0.2276422714310266	0.21875	0.23728813559322035	0.033057846248207845	0.031746031746031744	0.034482758620689655	0.313253007136014	0.3611111111111111	0.2765957446808511	0.2
21	0.2461538412970415	0.21052631578947367	0.2962962962962963	0.0	0.0	0.0	0.2372881307095663	0.20588235294117646	0.28	0.0
22	0.33898304588336686	0.3125	0.37037037037037035	0.140350872231456	0.12903225806451613	0.15384615384615385	0.41860464638182804	0.5294117647058824	0.34615384615384615	0.0
23	0.30555555067226087	0.26506024096385544	0.36065573770491804	0.07042253033128383	0.06097560975609756	0.08333333333333333	0.3157894687827024	0.27692307692307694	0.3673469387755102	0.2
24	0.3687943213520447	0.32098765432098764	0.43333333333333335	0.1726618656177218	0.15	0.2033898305084746	0.3925233595073806	0.3684210526315789	0.42	0.2
25	0.25925925427469143	0.27450980392156865	0.24561403508771928	0.037735844072624376	0.04	0.03571428571428571	0.2553191440470802	0.3	0.2222222222222222	0.2
26	0.3207547121965113	0.40476190476190477	0.265625	0.13461537983912739	0.17073170731707318	0.1111111111111111	0.2528735584568636	0.3235294117647059	0.20754716981132076	0.2
27	0.3211678785380149	0.2558139534883721	0.43137254901960786	0.10370369903978074	0.08235294117647059	0.14	0.32432431947082224	0.27692307692307694	0.391304347826087	0.8
28	0.28148147650370375	0.30158730158730157	0.2638888888888889	0.030075182992821217	0.03225806451612903	0.028169014084507043	0.23853210512583128	0.26	0.22033898305084745	0.8
29	0.3058823479972319	0.34210526315789475	0.2765957446808511	0.1445783083118016	0.16216216216216217	0.13043478260869565	0.2894736792416898	0.3142857142857143	0.2682926829268293	-0.4
30	0.3243243193571951	0.35294117647058826	0.3	0.11009173815335432	0.12	0.1016949152542373	0.32967032469991553	0.35714285714285715	0.30612244897959184	0.8
31	0.41599999501567997	0.3939393939393939	0.4406779661016949	0.19512194623570642	0.18461538461538463	0.20689655172413793	0.4893616971276596	0.48936170212765956	0.48936170212765956	0.6
32	0.2241379260478598	0.23636363636363636	0.21311475409836064	0.01754385466297464	0.018518518518518517	0.016666666666666666	0.2142857096286849	0.2903225806451613	0.16981132075471697	0.4
33	0.19672130654125247	0.17647058823529413	0.2222222222222222	0.033898300155128555	0.030303030303030304	0.038461538461538464	0.19999999500000015	0.2	0.2	0.4
34	0.38461537966161247	0.3508771929824561	0.425531914893617	0.17647058328335272	0.16071428571428573	0.1956521739130435	0.3370786467365232	0.30612244897959184	0.375	0.6
35	0.21176470118754337	0.28125	0.16981132075471697	0.048192766404413286	0.06451612903225806	0.038461538461538464	0.22950819256113955	0.3888888888888889	0.16279069767441862	-0.2
36	0.22784809676654388	0.17307692307692307	0.3333333333333333	0.025974021501097077	0.0196078431372549	0.038461538461538464	0.20895521913120974	0.17073170731707318	0.2692307692307692	1.0
37	0.24999999513083918	0.2982456140350877	0.21518987341772153	0.0298507414034314	0.03571428571428571	0.02564102564102564	0.22429906084024814	0.3157894736842105	0.17391304347826086	-0.2
38	0.3043478210893195	0.3111111111111111	0.2978723404255319	0.1999999950024693	0.20454545454545456	0.1956521739130435	0.3249999950125001	0.34210526315789475	0.30952380952380953	0.6
39	0.20224718602701694	0.21428571428571427	0.19148936170212766	0.04597700651076815	0.04878048780487805	0.043478260869565216	0.23529411292387553	0.3076923076923077	0.19047619047619047	0.4
40	0.1956521689224954	0.1875	0.20454545454545456	0.02222221723209988	0.02127659574468085	0.023255813953488372	0.2028985457760976	0.22580645161290322	0.18421052631578946	0.0
41	0.40624999503051756	0.37681159420289856	0.4406779661016949	0.14285713788863713	0.1323529411764706	0.15517241379310345	0.4329896857221809	0.4375	0.42857142857142855	-0.2
42	0.5348837159329368	0.5227272727272727	0.5476190476190477	0.3095238045266441	0.3023255813953488	0.3170731707317073	0.5405405355441928	0.5263157894736842	0.5555555555555556	1.0
43	0.20618556203634833	0.2222222222222222	0.19230769230769232	0.02105262660609536	0.022727272727272728	0.0196078431372549	0.21052631080332423	0.2222222222222222	0.2	1.0
44	0.4561403459156664	0.41935483870967744	0.5	0.24999999503985976	0.22950819672131148	0.27450980392156865	0.46464645965921847	0.4423076923076923	0.48936170212765956	1.0
